Emoji,P-value,ethnicity
⏩,0.0,asian
◀,0.0,asian
😆,0.0,asian
💗,0.0,asian
✨,0.0,asian
💕,1.3198081417168051e-280,asian
💜,1.410168900866295e-272,asian
❓,1.4061507564032376e-264,asian
🦊,4.497479452951143e-171,asian
😭,2.85103181227279e-169,asian
♻,3.8271704557128835e-166,not asian
🐽,2.3908862064449885e-147,asian
❗,3.736615096609888e-142,asian
☺,1.809634224864007e-128,asian
♂,2.6404454254705354e-124,asian
©,2.0184963985955713e-121,asian
❤,2.0290456150699392e-109,asian
🍀,6.079146428168753e-73,asian
🎵,1.2593161821305509e-72,asian
🐹,1.0083826029637869e-71,asian
😁,8.401409596255111e-68,asian
🌟,5.971249388466355e-65,asian
💓,8.580492846009984e-64,asian
🥡,1.0251430500563448e-53,asian
😝,6.41894487159374e-48,asian
🙇‍♀️,3.6886381531106837e-44,asian
💄,8.264444217275507e-40,asian
💚,6.01472154851948e-39,asian
🐤,3.255997004928232e-38,asian
♥,5.464809311442767e-34,asian
🙇🏻‍♀️,1.0518923888055145e-33,asian
😂,3.346358783777907e-33,not asian
🐻,1.5094101658254916e-31,asian
🙇,3.946496156913081e-30,asian
🎯,2.4926439208667082e-28,asian
💦,2.926098966650433e-28,asian
👺,5.985697320539872e-26,asian
☁,3.2914567961713543e-25,asian
😖,2.549358398252105e-23,asian
👶🏻,2.7716629388396964e-23,asian
✌🏻,4.159576908634688e-23,asian
🚶🏻,9.252725399233143e-23,asian
👄,1.594773780438008e-22,asian
♀,1.862621607098306e-22,asian
🤟🏻,5.438036143719972e-22,asian
😳,1.5241415513109014e-21,asian
😚,7.92078669235164e-21,asian
🇵🇭,1.3207466276531267e-20,asian
🌹,3.807092500437473e-20,not asian
🐰,1.4606253029018135e-19,asian
➡,1.4497621974815018e-18,not asian
🕰,2.0596499408443454e-18,not asian
👍🏻,2.935699727847568e-18,asian
🇲🇴,4.454776164778996e-18,asian
🖥,5.908586042020299e-18,not asian
🙆‍♀️,1.0434567828688629e-17,asian
💡,3.0549467459734353e-17,asian
🤣,1.0353141197253854e-16,not asian
‼,5.302522506799732e-16,asian
🎮,6.121630572361998e-16,not asian
🥒,1.418559219037607e-15,asian
📞,1.839153397554281e-15,not asian
💔,3.616196305159011e-15,not asian
🚖,3.8657743241000625e-15,not asian
💛,7.784640140891583e-15,asian
😶,1.153915507169743e-14,asian
🌆,3.141319689633812e-14,not asian
😉,3.9066232123304154e-14,not asian
🙅🏿‍♀️,5.335541462211844e-14,asian
😊,5.710630430166904e-14,asian
😎,5.924720979335049e-14,not asian
🥗,8.734268516134537e-14,asian
👉,2.351307322257818e-13,not asian
🙋🏿,5.948918914484679e-13,asian
⭐,9.062449135392338e-13,asian
🤟🏼,1.374543317286695e-12,asian
💎,1.7721869194345899e-12,not asian
🌠,3.938835108715497e-12,asian
🥀,7.002159880779103e-12,asian
🤟,7.625930325221391e-12,asian
🤧,8.993024762307495e-12,asian
🍒,1.2182741975357335e-11,asian
✊🏻,2.1622098477669902e-11,asian
😑,2.1804231593538147e-11,asian
🇺🇸,5.948266779640848e-11,not asian
🐥,5.259553584708909e-10,asian
💆‍♀️,5.890608286889067e-10,asian
🙄,7.440010321372393e-10,not asian
💯,8.86312174090893e-10,not asian
▶,1.2004661678923957e-09,not asian
💭,2.0779776295824002e-09,asian
🕺,3.964864162400278e-09,asian
🙌,6.334397209122605e-09,not asian
🍭,6.547634888286149e-09,asian
🍞,8.77820929875529e-09,asian
🤦🏿‍♀️,1.0303908075045478e-08,asian
🔴,1.4224614227626436e-08,not asian
⚫,1.822858130609892e-08,not asian
💖,2.2122414448906605e-08,asian
😏,4.585967106354861e-08,not asian
🔵,5.017840941374298e-08,not asian
💧,5.230390909432321e-08,asian
❣,6.422122994681314e-08,asian
😼,6.609627588350896e-08,asian
🌈,1.351685730497526e-07,asian
😓,2.945640736781514e-07,asian
😮,3.049257777340523e-07,asian
🙋🏻‍♀️,3.1280966808356967e-07,asian
😢,4.698488518188857e-07,asian
🐶,5.299511869225061e-07,asian
😸,5.325432389241301e-07,asian
🌝,9.382535973525395e-07,asian
😒,9.699526979308238e-07,not asian
⛅,1.1910438842327236e-06,asian
🏨,1.4487151583926327e-06,not asian
🍘,1.4970154942207113e-06,asian
🍜,2.03424193593319e-06,asian
🌱,2.1362494493763597e-06,asian
🍙,2.2738641526997034e-06,asian
⏬,2.4905989326299616e-06,not asian
😱,2.652135368609474e-06,not asian
😔,3.067095549179315e-06,asian
⤴,3.3145903053117575e-06,asian
😿,3.4690152494421113e-06,asian
👯‍♀️,3.6348202978264773e-06,asian
🌻,4.398311437891334e-06,asian
🙍‍♀️,4.53262094041162e-06,asian
🤮,4.548096005081918e-06,asian
⚽,5.069672952860576e-06,not asian
🆒,5.25017087712264e-06,not asian
🍈,5.816181075625563e-06,asian
👻,7.03053499652064e-06,asian
👩,8.284532673802854e-06,asian
💅,9.567008601782996e-06,asian
👽,1.3970356282577508e-05,asian
☀,1.4195352898699101e-05,asian
💪,1.5880005013919635e-05,asian
🤦🏽‍♀️,1.6018850634350553e-05,not asian
🏘,1.8290185415846572e-05,not asian
💁‍♀️,1.8781586247653936e-05,asian
🎉,1.9031674757707646e-05,asian
📮,1.932205627454029e-05,not asian
👈🏻,2.229658863714691e-05,asian
🙂,2.293151717772703e-05,not asian
🤚🏻,2.3768937031393853e-05,asian
🧡,2.5825048155271038e-05,asian
😀,2.9651290636609425e-05,not asian
🧑,3.625068403908128e-05,asian
🔥,3.674728865765562e-05,not asian
🅱,4.1245298860982066e-05,asian
☝,4.345987284638303e-05,asian
💨,4.520710104712448e-05,asian
🎠,5.010348488597325e-05,asian
✊,5.1643869135224565e-05,asian
📙,5.491430730028751e-05,asian
🥛,6.108974893048842e-05,asian
🎊,6.201846235701348e-05,asian
🛎,6.617293018986032e-05,asian
🍼,6.828760350119851e-05,asian
😴,7.166120581366929e-05,not asian
🏧,7.361442723216653e-05,asian
🤷🏽‍♀️,7.42174368341707e-05,not asian
✅,7.552319916775125e-05,not asian
👨‍⚕️,7.764333253313779e-05,asian
🙋🏿‍♀️,7.764333253313779e-05,asian
🙎🏻‍♂️,8.189273216616816e-05,asian
🛢,8.189273216616816e-05,asian
👇,8.589436090567778e-05,not asian
🍶,8.955087242307903e-05,asian
👯,0.00010009643471455478,asian
😵,0.00012048345311872233,asian
🤓,0.0001338395436397548,asian
