Emoji,P-value,Gender
⏩,0.0,Females
◀,0.0,Females
🔵,0.0,Females
🔴,0.0,Females
😚,0.0,Males
😩,0.0,Females
♻,0.0,Males
😍,0.0,Females
❤,0.0,Females
😭,0.0,Females
😂,0.0,Males
💷,1.0205178225740504e-234,Females
©,7.227868446052095e-229,Females
💜,3.110314766938164e-225,Males
🔶,4.947941618601644e-218,Females
✖,1.454790423808938e-205,Females
♥,3.677611695062512e-205,Females
💀,1.1685590151038286e-203,Females
🔷,2.4360626016891878e-147,Females
🔥,1.4090625473713763e-145,Males
📢,4.7501516562851124e-141,Females
🤦🏾‍♀️,3.2612671387323746e-138,Females
🍀,1.1383383368476932e-130,Females
🙄,3.4219207621822644e-125,Females
✨,1.1912660120303661e-121,Females
🤗,2.374529181232173e-118,Females
🤷🏼‍♀️,2.3892478018327536e-109,Females
😘,5.14281345149229e-103,Females
💋,2.3057351074021277e-101,Males
🔔,1.7520734516690978e-99,Females
💔,1.888361949325431e-95,Females
🎶,1.1799449595508128e-93,Females
🕰,8.44119544852636e-91,Females
🤷🏾‍♀️,2.9273927417858817e-88,Females
🤷🏽‍♀️,1.7166174391951512e-87,Females
➡,3.4245854005038956e-87,Males
🖥,1.433121893778023e-86,Males
🤦🏽‍♀️,5.756791239908111e-86,Females
😒,9.511009664667908e-85,Females
📸,1.8394467147512887e-84,Males
🤷🏻‍♀️,9.541575577095503e-84,Females
🐽,4.9879974070180555e-80,Females
☹,8.129553617040537e-79,Females
🎮,2.376581392024797e-78,Males
💞,1.734917102779284e-77,Females
💖,8.404694194697446e-77,Females
👉,8.621469420700147e-77,Males
📞,3.2771969900777765e-76,Females
🇮🇳,4.231327274491808e-75,Males
🚖,8.122165834888584e-75,Same
🇫🇴,1.0168686153990492e-73,Males
🤦🏻‍♂️,1.019798646164038e-72,Males
🦊,6.320466124173213e-72,Males
💛,1.7658575373029952e-71,Females
💎,4.412574053885351e-68,Males
📌,8.662017092781664e-68,Females
🐷,2.0499667865051257e-67,Females
🤦🏽‍♂️,2.110383459853178e-67,Males
💦,3.863968190565981e-67,Males
🙃,8.433946855559422e-65,Females
🤦🏻‍♀️,2.68757893068636e-63,Females
🆕,3.124339178776924e-63,Females
🤷🏻‍♂️,5.048001637936823e-62,Males
🌆,9.42155492338819e-62,Males
💙,1.6622707129765273e-57,Females
😔,1.8482671596908337e-56,Females
🙌🏼,7.314516941584019e-54,Females
▶,4.0690253801747995e-53,Females
😊,1.1129430137768203e-52,Males
💃🏽,5.173926129078112e-49,Females
😙,5.3734723675950564e-49,Females
💗,2.4515148777134776e-48,Females
⚓,4.3413354378248695e-45,Males
🤷🏽‍♂️,7.73692028374843e-45,Males
