,User,Tweets,Tweets_with_Emoji,True_Gender
80,2375393097,179,103,male
95,3510104353,36,24,female
103,1319545489,157,19,female
152,9.55135434849272E+017,73,2,male
281,7.54600664597013E+017,252,243,female
347,7.89760126404202E+017,1030,740,female
397,608646193,137,82,male
501,281682435,328,84,female
572,3353965353,815,87,female
583,9.69860049895014E+017,455,85,female
629,1565422656,2715,359,female
635,7.37281040247464E+017,9,2,male
655,8.88355578476737E+017,451,233,female
844,1916454788,647,100,female
911,3323273855,139,38,female
949,8.01637318880727E+017,82,1,male
954,892418954,32,19,female
969,9.57916253808607E+017,28,14,male
996,3011611751,165,73,female
1037,7.97412505056317E+017,730,221,female
1171,7.26751921520841E+017,420,32,male
1203,2961162861,452,121,female
1283,169499588,1378,169,female
1311,196812101,539,74,female
1327,8.27106981047632E+017,153,10,male
1365,7.37433819251368E+017,1340,528,female
1371,3043697397,111,33,female
1373,117664959,1674,19,female
1429,8.13794033055203E+017,736,31,male
1470,2565942311,208,3,female
1538,8.16613676887265E+017,159,25,female
1560,9.56044474546835E+017,130,10,male
1764,3316339500,554,264,male
2015,9.6167568849868E+017,653,3,male
2162,8.06275564432663E+017,1485,175,female
2311,1115752802,371,20,male
2435,1682307859,2426,15,male
2449,326647852,260,48,male
2716,8.51538157220876E+017,384,13,male
2729,307564259,1430,535,male
2850,8.6355444316133E+017,212,72,male
2884,1447020739,1534,388,male
2945,3207346461,951,5,female
2948,134933749,2346,536,male
2971,17091056,508,47,female
3026,290076402,1958,242,female
3241,3419083090,7,6,female
3281,66959795,14,1,male
3356,4241865621,725,76,female
3451,7.28243346150412E+017,2982,114,female
3542,2962458799,945,584,male
3595,130350952,478,91,male
3663,8.81359703879569E+017,157,28,male
3729,386426985,2924,554,male
3819,8.88352988527559E+017,60,54,male
3868,8.61086022494437E+017,13,10,female
4118,1167897782,308,126,female
4309,9.08171121295598E+017,41,3,female
4431,546312025,377,157,male
4490,3282752584,1113,9,female
4512,546915766,41,9,male
4583,9.42667508393304E+017,1364,834,female
4683,129878931,1338,105,male
4768,921945048,206,32,female
4838,121745358,1030,260,female
4851,9.72598013884543E+017,92,21,female
4870,2951287410,199,132,female
4977,8.3587794498363E+017,485,3,male
5015,1722341503,101,39,female
5126,8.81891933668246E+017,1907,156,female
5159,2627697850,514,227,female
5247,9.26504181564936E+017,709,55,female
5267,634343331,805,263,male
5301,172229903,1976,1007,male
5304,32718264,812,28,female
5423,506309815,186,74,female
5499,9.64400246280274E+017,415,284,female
5554,331899031,955,47,male
5665,4386553455,81,26,female
5698,8.6667077942086E+017,790,23,male
5854,9.4806694605815E+017,780,59,male
5858,340051684,2348,700,male
6112,525262660,85,26,male
6144,379431387,76,1,male
6186,3952152382,1909,736,female
6269,374820980,28,4,female
6306,9.66429579199111E+017,112,27,male
6387,1652046062,1226,730,male
6455,427409653,2745,543,female
6476,9.43981336326562E+017,3088,1607,male
6589,2811990072,17,4,female
6639,558432478,31,3,female
6695,567066974,2,2,female
6789,16059033,816,43,female
6822,7.70994692368372E+017,1260,180,male
6850,7.44247125735793E+017,296,62,female
6907,366866067,282,57,female
6993,617709521,20,11,female
7078,822100824,990,48,male
7114,264473522,1108,110,female
7276,95115445,3251,15,male
7494,2413795609,652,633,female
7524,1557280052,752,306,female
7580,456152429,1182,621,female
7586,1280597148,198,38,male
7639,2920431736,1416,764,female
7656,332429152,172,122,female
7670,2164807579,520,155,female
7766,8.3520090149324E+017,294,32,male
7822,227697375,155,112,female
7857,127715165,176,14,male
7986,7.74302742340706E+017,1663,107,male
7989,501236820,74,15,female
8067,9.57566594506416E+017,2208,71,male
8077,522030624,132,12,male
8108,9.59937003922977E+017,305,87,male
8277,2319948099,885,254,male
8301,279551640,12,7,male
8341,8.74295720941146E+017,413,283,male
8447,366785948,365,128,female
8527,1360480652,842,180,male
8546,1617543655,66,26,male
8669,2341144547,6,1,female
9061,2517018954,803,122,female
9154,160178939,1725,2,male
9168,187562622,271,22,female
9189,167510765,3125,1,male
9243,2207677916,195,39,female
9277,329849878,569,427,female
9343,3986091861,263,8,female
9366,7.68619937908654E+017,489,158,female
9385,2515654556,149,32,male
9429,7.93479674034811E+017,44,35,female
9463,9.29523116539286E+017,193,29,female
9574,9.47330382940295E+017,909,204,female
9599,175753943,88,22,female
9630,450616445,1416,711,male
9642,7.62305654862311E+017,513,63,female
9650,7.08233256236392E+017,10,2,female
9774,7.94567194315203E+017,159,104,female
9823,605830702,281,92,female
9856,2837055751,477,26,male
9903,26694536,173,11,male
9941,9.43089358059528E+017,711,43,female
10003,2998532867,26,6,female
10023,173235703,108,34,female
10239,46465628,219,6,male
10337,25070171,216,2,female
10480,596725520,156,46,male
10481,1116498698,287,120,female
10539,160862454,60,1,male
10615,224382962,126,39,female
10617,2926923719,42,17,male
10643,203957448,209,36,male
10737,151206620,18,2,male
10776,20015627,124,27,male
10779,33208329,16,6,female
10839,2231519446,1088,199,male
11113,32983034,50,2,female
11116,398112504,11,1,male
11176,27923296,122,78,female
11268,437501534,2100,1679,female
11281,787296072,249,9,female
11291,722482232,17,5,female
11322,37974970,175,25,male
11337,8.46803808210633E+017,118,42,female
11371,20999347,60,30,female
11375,1905131023,148,76,female
11407,997164241,24,9,male
11452,2211150652,302,43,female
11474,314148427,108,13,female
11534,391570715,25,1,female
11665,131996072,118,58,male
11876,98909421,237,38,male
11979,4175171057,29,24,male
12088,515932389,115,27,male
12228,74403835,178,50,male
12236,35827205,38,2,female
12273,1096679334,360,133,male
12317,53733,66,6,male
12328,23093971,276,24,female
12408,430151466,75,34,male
12411,1952694714,928,5,male
12425,2689756046,487,143,male
12436,212321938,116,24,male
12483,27329763,236,174,female
12509,565690399,169,13,female
