	User	Tweets	Tweets_with_Emoji	Race
156	20404297	341	1	white
240	848886561727021056	62	46	white
312	962740874462588928	141	17	hispanic
417	4245810826	1183	140	hispanic
461	743997602211848194	16	1	asian
714	386850174	23	2	white
757	290843573	97	3	white
944	162634096	1709	474	white
1219	712859464043524096	231	71	hispanic
1350	1347664970	1163	248	hispanic
1385	811576049259675648	14	7	white
1499	928430453715099650	22	3	black
1748	387371885	664	9	white
1749	944312589118590976	2309	23	black
1781	21642560	3191	3	white
1811	99162484	1630	92	white
1965	121247765	630	255	hispanic
1977	957136008427970561	2	1	hispanic
2049	83915318	1114	10	white
2275	459387184	43	5	white
2440	969389807800672261	1136	472	black
2452	611370285	870	166	white
2516	387677430	43	4	white
2750	862289017034997761	60	6	white
2858	725752411	112	84	white
2940	1858782266	180	95	white
2978	881004374952161280	2446	186	black
3022	840375240471400448	29	1	white
3052	42211806	765	30	asian
3061	959412320794435584	896	592	white
3131	748606083825012736	2256	124	white
3234	2374690364	113	25	black
3284	890352776634449920	58	1	white
3296	57358236	1605	384	white
3382	289796919	562	13	white
3573	703742265815130112	104	6	black
3744	773632431433875456	3171	708	white
3921	4009329681	844	83	black
4175	154755279	1244	5	white
4203	972833270680309762	6	1	white
4227	1267845439	243	3	white
4418	964340931183988736	383	100	asian
4434	965965498935660544	770	64	white
4813	383497624	2323	332	white
5287	961597390053617665	876	226	hispanic
5465	2251519491	118	23	black
5544	836198020861542401	262	48	white
5639	195784064	540	310	white
5650	3185064115	1422	199	black
5719	848906150900899840	344	158	white
5853	2696070794	2394	1183	black
6002	794603183972696064	182	9	white
6009	162114001	1327	1	white
6124	870783737717551104	43	6	asian
6185	2907283963	1098	45	asian
6226	960279074647179265	2484	135	white
6455	427409653	2745	543	white
6456	886753338674618368	352	62	white
6483	1438284260	119	21	white
6712	1626543776	332	113	white
6719	422876991	139	3	white
6823	1662141835	516	124	asian
6907	366866067	282	57	black
6914	471516700	164	60	asian
6970	1894767126	1356	318	white
7026	60245489	135	68	white
7133	895428382850252801	931	17	white
7531	296031125	189	26	white
7676	76665246	1273	40	white
7886	1609066356	394	379	asian
7899	899955263137918976	243	9	white
7981	775744272767254528	37	5	white
8059	285545091	232	21	white
8081	952739884036337665	18	13	asian
8132	533252254	386	360	asian
8182	4847241178	575	40	asian
8240	3298604808	1865	1702	hispanic
8249	32438705	1009	69	white
8256	1884562656	155	97	hispanic
8471	945731828412973056	293	120	white
8547	3503227163	212	8	asian
8616	882730435721154561	28	23	asian
8783	2267285870	130	32	white
8796	969450838300221440	1016	415	asian
8965	887786585974091776	3228	9	asian
9179	25006948	1579	30	black
9199	4472191394	702	138	hispanic
9389	521500708	9	4	black
9391	845821076047347713	953	224	black
9408	313930819	99	22	asian
9447	1447451658	3212	178	white
9498	2546197560	171	114	white
9528	275158507	1480	46	white
9640	1434295609	3054	1352	white
9797	960967009541476353	343	83	white
9841	795440027421405184	1088	531	asian
10226	1055519946	252	145	black
10260	153124949	614	94	white
10309	427587072	13	3	white
10337	25070171	216	2	white
10405	20794334	700	167	black
10434	1035534522	91	42	white
10439	21661315	9	1	white
10462	449280986	13	4	white
10539	160862454	60	1	white
10544	937340586289442816	16	2	black
10686	935362687	1295	60	white
10728	79908881	50	8	white
10732	302775948	175	30	black
10805	182417583	190	45	black
10814	303703164	39	3	white
10938	319774451	674	208	white
10950	19446820	109	7	white
10993	1511272429	15	3	white
11013	1575840926	2564	6	black
11214	972038205964017664	179	47	black
11266	61516691	121	17	white
11287	15197262	42	6	white
11380	872446807330230273	149	7	white
11531	92501566	168	1	white
11629	942263682633027584	121	35	black
11657	422753814	173	34	black
11710	1907475966	52	29	black
11775	40548023	930	686	white
11874	223871481	497	226	black
11877	859750307294838786	21	2	white
11914	45023328	1	1	white
11999	434876584	115	8	black
12008	23670524	122	26	white
12091	302517823	89	36	white
12258	20214209	2097	29	white
12328	23093971	276	24	white
12343	39738869	131	3	white
12449	123632195	139	1	white
12524	904803052129067009	262	4	white
12532	635701886	260	11	white
12561	20403996	32	2	white
12643	287623582	359	85	white
12675	2842592122	45	13	white
12724	588480080	33	22	black
12776	20839257	49	11	white
12852	56342534	145	35	white
12981	207242650	32	7	white
13225	759948283	69	37	black
13228	24591473	231	57	white
13230	18668473	40	3	white
13243	393923909	42	13	white
13434	284135897	94	38	black
13456	128272682	48	25	black
13594	376421887	254	23	white
13596	137419522	3	2	white
13629	21585196	68	20	white
13737	709091549653688320	48	8	white
13826	2785390638	36	13	white
13896	20821482	350	74	black
13916	353949539	34	9	white
14016	2429141683	28	7	white
14029	294356745	9	3	white
14082	509163922	1083	762	white
14104	19567850	440	303	black
14117	606300243	1	1	white
14199	18092782	653	4	black
14208	1629977954	209	58	white
