Emoji,P-value,Gender
🤷🏽‍♀️,0.0,Females
📲,0.0,Males
💗,0.0,Females
💛,0.0,Females
✨,0.0,Females
💖,0.0,Females
💕,0.0,Females
😩,0.0,Females
😘,0.0,Females
😍,0.0,Females
😭,0.0,Females
❤,0.0,Females
😂,0.0,Females
💜,2.56136661299172e-277,Females
🤦🏽‍♀️,1.3041467306773925e-273,Females
😊,2.504451578402638e-270,Females
💔,1.9719151161801236e-262,Females
🎧,1.531865457905353e-244,Males
♥,8.919124316576718e-231,Females
🎉,1.43408128557851e-229,Females
💙,8.65043529514545e-227,Females
🤷🏻‍♀️,4.057008977033477e-223,Females
🤷🏾‍♀️,1.9195636562167655e-221,Females
☺,1.6008021734847393e-209,Females
💋,1.5080125306631119e-193,Females
🤦🏻‍♀️,1.414470964364366e-189,Females
👍🏼,2.177685831001527e-183,Males
🙃,5.4209217035885244e-182,Females
👏🏾,2.033018623246665e-177,Females
💓,1.2133299200383752e-174,Females
🤷🏾‍♂️,2.7791023980126525e-172,Males
🖤,1.5332059746166638e-168,Females
💯,2.4634284208185515e-159,Males
⚒,7.029334288807853e-146,Males
🌼,5.9690190356703906e-145,Females
👍,4.379838466425153e-141,Males
🤦🏾‍♂️,1.0552840074002114e-140,Males
🧡,2.36694428080067e-140,Females
📷,3.7685550641008605e-140,Females
🌻,1.750760180903969e-133,Females
🤦🏾‍♀️,2.8034560812015356e-128,Females
🤷🏼‍♀️,5.2651761321068285e-120,Females
🙄,2.3974085550642064e-119,Females
🌸,7.828302700346873e-119,Females
😫,2.429223915369807e-116,Females
🌊,7.501535439163302e-115,Males
💫,4.666345017457468e-114,Females
💐,1.684776975770228e-110,Females
🙌🏾,3.122226478177045e-110,Females
🤦🏽‍♂️,6.979023616937623e-105,Males
🤷🏽‍♂️,2.8662939887404433e-97,Males
‼,7.298015068836117e-96,Females
😚,3.291604842549263e-94,Females
🔉,2.7927798799841106e-93,Males
💚,1.1253651106623988e-92,Females
👠,1.2126371045459882e-92,Females
🔅,1.3247103447050054e-89,Females
👊🏾,1.6806279916673978e-88,Males
🙏🏻,2.1017454059059936e-87,Females
🤦‍♀️,2.8002840424203767e-87,Females
🗝,2.5212716496783097e-85,Females
💃🏽,1.7952709002362863e-84,Females
🇬🇧,7.397492943917511e-84,Females
