Emoji,P-value,ethnicity
🤷🏾‍♀️,0.0,black
🙌🏾,0.0,black
🤦🏾‍♀️,0.0,black
💀,0.0,black
😩,0.0,black
😭,0.0,black
😂,0.0,black
🙏🏾,2.806263429613092e-250,black
🙏🏽,3.5000478121390563e-239,black
💯,4.0871366413077656e-231,black
🤦🏾‍♂️,8.694684615893699e-222,black
🤣,9.960903415535018e-205,black
🗣,2.950692313326699e-181,black
🤦🏽‍♂️,1.5088404726600355e-179,black
🤞🏾,2.0697912514171625e-178,black
🙄,1.022621873967449e-142,black
♻,1.6242234340503403e-133,not black
💃🏽,3.3695331509878465e-133,black
😒,9.349859927487379e-131,black
✌🏾,2.5438854190946296e-127,black
🤷🏾‍♂️,1.4599749964834226e-124,black
🤫,3.581962968400431e-97,black
💪🏿,3.777947212542074e-97,black
👀,1.5565844714910102e-94,black
🤷🏽‍♂️,3.16615945741856e-93,black
👌🏾,1.579716066376772e-90,black
🤷🏽‍♀️,7.370405526876534e-86,black
💆🏾‍♀️,1.3525857974372105e-85,black
😍,1.6589283849605e-80,black
🤞🏽,3.166355288669783e-71,black
🔥,1.0994838713049042e-65,black
💪🏾,4.150036387212369e-65,black
🤟🏾,1.0954429052894355e-63,black
🙌🏽,1.280747866472158e-63,black
😕,1.9385125186292046e-63,black
🤦🏽‍♀️,7.286697953324509e-61,black
👌🏽,3.889050511958045e-60,black
🤸‍♀️,1.1365604281809475e-59,black
😪,3.824978965790559e-59,black
👎🏾,3.102992157316233e-58,black
❤,1.4757377797166114e-50,black
🎯,8.757310801403023e-48,black
💪🏽,4.062434572040483e-43,black
✨,2.584681388126444e-42,not black
🇨🇴,2.7047320533683134e-41,black
💉,8.663679170668868e-41,black
✊🏾,2.1713535936255443e-40,black
🤮,2.8470280308833416e-40,black
😹,3.690920667674839e-36,black
🙋🏾‍♀️,4.2759532037040143e-35,black
🤪,1.0807094956958082e-34,black
🖖🏾,7.849382263340828e-33,black
🙇🏾‍♀️,4.5396987815132775e-32,black
🤧,4.8503039326109757e-32,black
😑,9.294462940203727e-32,black
🙅🏾‍♂️,1.1293146470447429e-29,black
🚀,1.3313059730923732e-29,black
😫,1.842323183968145e-29,black
🦂,3.219387092720089e-29,black
🙆🏾‍♂️,9.236618581011942e-28,black
🅿,1.0586721855053127e-27,black
💰,1.2158287467673483e-27,black
🤙🏾,3.2898664939064234e-27,black
🖕🏽,9.563865108382406e-27,black
💃🏾,5.669339777487398e-26,black
🖕🏾,6.680413684570315e-26,black
🐐,2.600575022654045e-25,black
🙌🏿,5.196515271772508e-25,black
🙉,6.114919653907246e-25,black
♊,1.0389690027717005e-24,black
👍🏾,3.166646356702887e-24,black
💅🏽,5.524686124687154e-24,black
🤦🏿‍♀️,2.2297485557193777e-23,black
😋,2.278905619634298e-23,black
👏🏽,1.1891144019492734e-22,black
🎶,1.6708159917037163e-21,black
🕺🏽,1.3008517982470074e-20,black
🤸🏾‍♂️,1.6699615888102527e-20,black
👐🏽,2.1735154302575958e-20,black
💦,3.0233872797808326e-20,not black
🤟🏽,6.056089082723283e-20,black
🌚,7.914341394237188e-20,black
👍,1.1800526530929497e-19,not black
🤑,1.2059256947010182e-19,black
👏🏾,3.6391710757731633e-19,black
💃,3.737971285799109e-19,black
😴,5.702081193531619e-19,black
🙅🏽‍♂️,6.141031143701928e-19,black
🤷🏿‍♂️,6.482500476669736e-19,black
🚮,1.9244563140113642e-17,black
☝🏾,2.4802789356705e-17,black
🧢,1.142500029623393e-16,black
👐🏾,1.6488717034135722e-16,black
✋🏾,7.73261728617907e-16,black
✍,9.416954561651988e-16,black
🤘🏽,1.2137287479019356e-15,black
💏,1.2455530189463472e-14,black
🤯,3.388706336932462e-14,black
👋🏾,1.3664096779518668e-13,black
🤓,1.8365220564435194e-13,black
🥤,2.0205324845937905e-13,black
✅,2.698948784780943e-13,black
🤞🏿,4.1543901829148595e-13,black
‼,4.314395454591286e-13,black
😬,6.467946094894449e-13,black
😏,8.233356271636175e-13,black
👍🏽,9.946818138147537e-13,black
👇🏾,1.103919271935068e-12,black
👉,1.4994393031152944e-12,not black
