User,Tweets,Tweets_with_Emoji,Gender,Race
2221622276,16,2,,
887676749621874688,0,0,,
222695169,767,115,,asian
209040086,941,77,female,white
47267505,1422,387,female,
920700810882965504,401,1,,
950948463281283073,3228,0,,
701003807,85,10,,
388330608,0,0,,
347996218,178,112,female,white
296732669,2446,455,,
4223077753,2155,72,,
382386705,17,2,female,white
969393511308161024,9,0,,
548131919,280,44,male,asian
355405212,3241,13,,
923295820866375680,0,0,,
718230003750682624,470,14,male,white
953463997,218,31,,
821881088754745344,143,11,male,
850417281494593537,871,0,male,
2276593526,134,47,female,hispanic
2402338153,1281,235,,
941085599611740160,692,52,female,
2468263454,62,9,,
4511541673,3,1,,
907142373796233216,0,0,,
892716285624172545,0,0,female,
3547612816,0,0,male,white
753637656303632384,172,5,female,white
828554309948149760,31,12,,
857880148774854656,0,0,,
25899287,344,9,,
278200937,297,67,male,white
1212986544,0,0,female,
4113346037,189,41,male,asian
973352431659692033,118,58,,
2823749675,561,9,,
972187953257635840,2,0,female,asian
953983314532081664,160,50,,
4145794623,700,225,female,white
928599248840675328,52,39,female,white
2235382934,2905,98,female,asian
2421413639,245,22,male,white
873409094513602560,18,5,male,asian
1301180436,25,5,,
1602985746,1881,2,,
953291382671552512,0,0,,
761775449307422720,13,11,male,asian
4157756998,314,154,female,black
951955674438782978,1521,640,,asian
459983426,0,0,male,asian
707725170111172609,245,150,female,black
2275683789,129,9,,
841488350,689,162,,
269709361,2097,1007,,
899339687457935360,363,0,,
707169633690845184,3231,433,,
216418917,364,20,,
2959024287,167,2,male,white
1877328464,7,0,,
940439248167100416,0,0,,
4243420876,212,137,,
750348611632918528,0,0,female,white
2161470344,1951,10,,
352483898,830,303,female,black
751148628,147,7,female,white
418219426,12,3,male,white
2322772694,2884,2604,female,white
254359578,40,1,,
296984703,1346,397,female,hispanic
838231207565529088,56,30,female,black
370223141,23,0,,
2914490515,0,0,female,asian
721183530517164037,728,728,,
787252536,724,7,,
316043948,3237,0,,
765165929198071810,2265,200,,
756691595685163013,22,0,male,white
1903125144,0,0,male,asian
2375393097,179,103,male,black
842901923611185152,697,71,,
810836171714625536,0,0,,
3359961653,125,83,male,hispanic
889535954205241347,0,0,,
953808006629568512,18,12,male,asian
126632586,548,7,,
968762168199073792,269,40,,
916205356270964738,31,0,,
419126225,74,2,female,
3304094151,77,20,,
899132894358028288,3060,874,,
128326032,217,119,,
715257611084505089,42,10,,
832306794483609600,0,0,,
3510104353,36,24,female,white
801406749077110785,0,0,male,white
849646857680601089,62,26,female,asian
861227157070237700,0,0,,
1153499474,0,0,,
2754565376,333,27,male,asian
902439838959280128,54,13,female,white
1905590354,150,12,,
1319545489,157,19,female,
634530335,0,0,,asian
2236857812,84,0,,
702644396,0,0,female,white
972868226748157952,0,0,,
251502794,185,62,male,asian
3632706796,0,0,male,black
793447308872429569,3262,0,female,
158492084,133,34,male,asian
116016435,156,65,,
2388360509,542,5,,
732929671453544449,300,6,,
958963197414789120,0,0,,
787261404994605056,1505,1020,,
2587803500,39,37,female,white
4323238762,0,0,female,black
768047702605045764,0,0,,
293427660,0,0,male,asian
704886566976667648,1782,659,,
3345306467,126,0,,
3250532192,754,166,,
97192330,1774,37,male,white
948923808840269824,42,7,,
708008780689219584,712,210,female,
2581070515,221,27,male,white
967575650214273025,0,0,male,white
2430259292,0,0,,
913357726087917568,0,0,male,asian
948894306126921728,716,429,,
763825345,264,59,,
50412515,1342,96,,
4629829819,3261,39,,
224112717,55,1,male,
759098527637053443,0,0,,
3054319112,100,34,,
2346455730,202,0,male,asian
326228310,0,0,female,asian
2497721046,0,0,,
970218370690793472,324,0,,
952793600579915776,539,68,female,
2870003343,478,0,,
966731463545810945,1128,28,,
1117901714,1688,391,,
290013004,68,7,male,hispanic
2463381800,2951,651,,
811274740581232640,483,56,female,white
3394695862,680,16,,
198326516,1211,85,,
2387537562,825,449,male,
955135434849271808,73,2,male,asian
3141263852,0,0,male,white
342690226,0,0,,
815361820038860804,0,0,,
20404297,341,1,male,white
914576442,716,241,,
309110873,40,0,,
410810101,102,32,,
1605703850,0,0,male,asian
2843787999,0,0,female,white
785181284742131712,0,0,female,white
973484350950973440,0,0,male,asian
72896351,48,2,male,white
493329568,2704,94,,
851245289654566912,0,0,male,asian
1244359500,647,199,male,white
623771525,1,0,female,asian
383096361,0,0,male,white
958455407080607746,401,90,female,white
972314264869396480,0,0,,
334468381,217,71,female,black
2491493582,775,7,,
2918472053,139,70,,
3902568014,700,107,,
3092052992,701,133,,
889879236642844674,0,0,female,
3087953826,2270,1794,female,black
3097107714,0,0,male,asian
3355928854,0,0,,
311735311,1567,287,,
2300325113,356,21,,
132592208,549,18,,
158449913,10,0,,
260536658,1293,37,,
940281250010619905,1488,621,,
2550022969,0,0,female,asian
21345004,1418,121,female,white
822835510041157632,2306,168,,
1246667654,3246,0,,
799883612023713792,45,24,male,asian
951570820375220225,2122,8,male,asian
2888651779,507,5,,
3303758153,501,21,male,hispanic
1425258138,0,0,female,asian
738911272373194753,707,50,female,
771228863846162434,622,0,,
3300715146,15,0,,
238590809,85,20,male,other
869446303905832961,0,0,,
206579084,227,1,,
2728699765,377,9,,
1507567573,0,0,,
461986782,205,63,,
2723862314,223,42,female,
715875484945395712,2127,489,female,hispanic
873225737867849728,49,9,male,asian
3138840630,56,0,female,white
942481531955765248,64,54,male,
968602181455765504,0,0,,
136798090,2403,423,female,white
171128816,998,3,male,white
3229328705,0,0,female,white
895185954637533184,1811,149,,
521507600,2,2,male,white
3242054647,0,0,,
821950750687313920,0,0,female,asian
1583697222,0,0,female,white
2774141261,68,26,,
1402084926,1067,633,,
3203571249,113,4,,
1959341472,0,0,male,white
4157846783,0,0,,
951404644462456832,181,40,,
415176405,0,0,,
3024959331,1219,475,female,
918107470777671680,0,0,male,asian
802553320997056513,242,19,female,
388955273,393,131,female,asian
1315732508,359,143,male,hispanic
867373450150543360,26,1,,
43971175,2053,0,,
815473855892439040,158,8,female,
757022039303680000,2235,72,male,white
2903383274,341,2,,
3345117207,2426,26,,
420791592,1200,117,female,
704463158614753280,106,35,,
825215434823725057,479,254,male,
848886561727021056,62,46,female,white
772249215997272064,1580,239,female,
623322927,2323,1,,
931984400560029696,0,0,,
926758742644858880,0,0,,
339706852,383,28,female,white
3157245037,3004,1132,,
14446088,1347,18,,
221462702,3,0,male,white
318514807,9,1,,
97891136,671,21,,
964216888556388354,0,0,female,black
318031078,234,52,,
904972859260276736,4,0,male,asian
972025773455544320,0,0,,
4729380733,754,75,,
165392024,631,6,,
3141215013,3225,50,,
282189114,37,0,female,
836514276865110016,1731,269,,
783243907874172928,731,47,,
321636667,483,0,male,
877137822,0,0,,
764476927138639873,57,14,,
4564356511,2721,1039,,
