User,Tweets,Tweets_with_Emoji,Gender
209040086,941,77,female
47267505,1422,387,female
347996218,178,112,female
382386705,17,2,female
548131919,280,44,male
718230003750682624,470,14,male
821881088754745344,143,11,male
2276593526,134,47,female
941085599611740160,692,52,female
753637656303632384,172,5,female
278200937,297,67,male
4113346037,189,41,male
4145794623,700,225,female
928599248840675328,52,39,female
2235382934,2905,98,female
2421413639,245,22,male
873409094513602560,18,5,male
761775449307422720,13,11,male
4157756998,314,154,female
707725170111172609,245,150,female
2959024287,167,2,male
352483898,830,303,female
751148628,147,7,female
418219426,12,3,male
2322772694,2884,2604,female
296984703,1346,397,female
838231207565529088,56,30,female
2375393097,179,103,male
3359961653,125,83,male
953808006629568512,18,12,male
419126225,74,2,female
3510104353,36,24,female
849646857680601089,62,26,female
2754565376,333,27,male
902439838959280128,54,13,female
1319545489,157,19,female
251502794,185,62,male
158492084,133,34,male
2587803500,39,37,female
97192330,1774,37,male
708008780689219584,712,210,female
2581070515,221,27,male
224112717,55,1,male
952793600579915776,539,68,female
290013004,68,7,male
811274740581232640,483,56,female
2387537562,825,449,male
955135434849271808,73,2,male
20404297,341,1,male
72896351,48,2,male
1244359500,647,199,male
958455407080607746,401,90,female
334468381,217,71,female
3087953826,2270,1794,female
21345004,1418,121,female
799883612023713792,45,24,male
951570820375220225,2122,8,male
3303758153,501,21,male
738911272373194753,707,50,female
238590809,85,20,male
2723862314,223,42,female
715875484945395712,2127,489,female
873225737867849728,49,9,male
942481531955765248,64,54,male
136798090,2403,423,female
171128816,998,3,male
521507600,2,2,male
3024959331,1219,475,female
802553320997056513,242,19,female
388955273,393,131,female
1315732508,359,143,male
815473855892439040,158,8,female
757022039303680000,2235,72,male
420791592,1200,117,female
825215434823725057,479,254,male
848886561727021056,62,46,female
772249215997272064,1580,239,female
339706852,383,28,female
1576392918,1612,100,male
916703610259607552,1457,722,male
722025585757786112,1443,215,male
844014079,19,4,male
346202106,355,75,female
754600664597012480,252,243,female
2695717449,450,146,female
502297556,48,1,female
2489977820,58,12,male
798894868328226816,2850,382,male
710887068700909568,105,25,male
467038656,307,15,male
962740874462588928,141,17,male
837570114069241856,37,23,female
922077523,590,100,male
208258302,307,97,female
2355959222,603,190,male
140556152,74,7,male
95112566,3238,33,male
272093927,973,81,male
127237591,1396,84,female
761931313360150529,648,8,female
927103352252530688,365,84,female
743211695515049986,476,172,female
2890131380,467,105,female
