User,Tweets,Tweets_with_Emoji,Race
222695169,767,115,asian
209040086,941,77,white
347996218,178,112,white
382386705,17,2,white
548131919,280,44,asian
718230003750682624,470,14,white
2276593526,134,47,hispanic
753637656303632384,172,5,white
278200937,297,67,white
4113346037,189,41,asian
4145794623,700,225,white
928599248840675328,52,39,white
2235382934,2905,98,asian
2421413639,245,22,white
873409094513602560,18,5,asian
761775449307422720,13,11,asian
4157756998,314,154,black
951955674438782978,1521,640,asian
707725170111172609,245,150,black
2959024287,167,2,white
352483898,830,303,black
751148628,147,7,white
418219426,12,3,white
2322772694,2884,2604,white
296984703,1346,397,hispanic
838231207565529088,56,30,black
2375393097,179,103,black
3359961653,125,83,hispanic
953808006629568512,18,12,asian
3510104353,36,24,white
849646857680601089,62,26,asian
2754565376,333,27,asian
902439838959280128,54,13,white
251502794,185,62,asian
158492084,133,34,asian
2587803500,39,37,white
97192330,1774,37,white
2581070515,221,27,white
290013004,68,7,hispanic
811274740581232640,483,56,white
955135434849271808,73,2,asian
20404297,341,1,white
72896351,48,2,white
1244359500,647,199,white
958455407080607746,401,90,white
334468381,217,71,black
3087953826,2270,1794,black
21345004,1418,121,white
799883612023713792,45,24,asian
951570820375220225,2122,8,asian
3303758153,501,21,hispanic
238590809,85,20,other
715875484945395712,2127,489,hispanic
873225737867849728,49,9,asian
136798090,2403,423,white
171128816,998,3,white
521507600,2,2,white
388955273,393,131,asian
1315732508,359,143,hispanic
757022039303680000,2235,72,white
848886561727021056,62,46,white
339706852,383,28,white
916703610259607552,1457,722,black
722025585757786112,1443,215,asian
844014079,19,4,white
346202106,355,75,white
2953796630,64,26,asian
502297556,48,1,white
2489977820,58,12,white
798894868328226816,2850,382,white
467038656,307,15,white
962740874462588928,141,17,hispanic
837570114069241856,37,23,asian
208258302,307,97,white
140556152,74,7,white
95112566,3238,33,white
272093927,973,81,black
127237591,1396,84,white
761931313360150529,648,8,asian
927103352252530688,365,84,white
743211695515049986,476,172,black
2890131380,467,105,white
789760126404202497,1030,740,hispanic
703998837812129792,219,29,asian
1360529966,2656,210,white
2391853952,1322,329,white
283017399,2889,515,asian
936734192129503234,45,14,white
949015312648859653,114,17,white
3016427952,413,165,black
4144132636,695,202,white
809088535,462,1,white
911919813567684608,1605,145,white
849581117413834752,25,4,asian
608646193,137,82,white
856485683711496192,220,36,asian
727508855358287873,638,166,asian
929814442837147659,86,2,white
851095116613795841,205,2,asian
89809238,806,44,asian
2326178355,1770,333,white
9027312,604,213,white
706197658528911360,92,14,white
4245810826,1183,140,hispanic
2747075825,99,3,black
962173958387777536,1197,218,asian
74130131,340,29,white
921851965310676992,1049,258,asian
889661275059482624,95,5,hispanic
604968639,753,91,white
1244500537,522,21,white
3911748860,269,90,asian
232739928,319,239,black
753631820424642563,3253,3250,white
743997602211848194,16,1,asian
2798787860,409,215,black
896481136439906304,9,3,hispanic
950783394153033730,2246,96,asian
578677705,701,53,white
950872538296578049,1506,141,white
281682435,328,84,white
1321494469,130,8,white
841535502343790592,112,6,asian
255194500,1391,129,white
921099719203463168,74,12,white
941179490029338624,68,26,asian
770927395922644992,2027,124,white
2743036505,93,23,black
28965328,820,155,white
1550913943,32,2,hispanic
452713352,139,99,black
815111956520574977,1175,868,asian
969210866984865793,807,48,asian
221981925,913,282,black
3186489388,192,138,black
821437910616600577,3209,1,hispanic
3353965353,815,87,white
801824348285861888,680,1,white
2322222146,52,12,asian
969860049895014400,455,85,asian
2807883894,49,4,white
3279278990,67,25,hispanic
524467582,402,63,white
322426082,1584,63,white
172544762,1084,33,hispanic
4091987844,3100,2511,asian
818361744280141824,12,9,white
146713837,196,123,white
1565422656,2715,359,white
2804769650,211,116,black
890449487273099265,1795,75,white
737281040247463937,9,2,asian
3985306641,1035,274,black
817831871602106368,108,1,white
749996554233184256,36,12,black
2609060168,359,78,white
973171479733874689,368,177,asian
2860456853,1135,226,white
1021701020,237,1,asian
20778999,1258,51,white
3288327574,632,81,white
3240134942,316,76,white
31164007,88,28,black
830178219978584065,410,384,black
3291986214,91,11,asian
3171924013,159,58,asian
3437111433,470,136,white
884117196657635328,334,44,hispanic
4704290946,829,587,white
1692674148,55,40,hispanic
386850174,23,2,white
729808821288198146,1,1,asian
2593261352,368,1,white
608006895,412,136,asian
571500171,255,1,white
3536956993,94,15,white
158415294,62,7,hispanic
956227805213331456,658,65,white
290843573,97,3,white
522650466,247,10,hispanic
953797207949479937,1963,146,white
572177064,14,8,white
1952541090,621,27,white
854427301240610816,1145,445,white
888431978416152578,149,8,white
879001915258003456,112,14,white
238476503,96,80,white
3261535359,4,3,white
880831404971610112,1927,844,white
406216921,117,67,white
3033748105,344,130,white
574950487,1178,434,black
837986323310915584,302,48,hispanic
3134034306,33,4,white
906913110371520512,23,1,white
3547318393,1757,680,black
971861620895899648,488,47,asian
2880676052,3186,275,white
120879803,2773,356,asian
1916454788,647,100,asian
868340140300685312,143,5,white
4864473809,1545,46,white
3699544632,2727,287,white
1199529102,271,30,white
2852544186,738,19,asian
957134201219772416,1170,968,asian
853156132067475456,450,12,white
363195936,154,34,black
17387399,2772,5,white
967312135,202,41,white
773552592441991168,2174,1166,white
595262158,287,110,white
967012368931696640,1047,176,asian
1893012709,3204,25,asian
371634828,104,41,white
3323273855,139,38,hispanic
42790388,687,29,white
3002758080,1033,111,white
70187093,119,17,white
814175634561835008,2096,5,white
1648661190,2536,115,white
870639749999894529,416,344,asian
162634096,1709,474,white
801637318880727040,82,1,white
115711124,524,76,white
892418954,32,19,white
1909658130,1222,56,white
4854132027,1501,1094,black
916854076289282049,1800,457,black
19212258,344,2,white
957916253808607232,28,14,black
4238504713,228,128,hispanic
2178291775,1222,582,black
262779886,303,140,white
2843658881,51,35,white
625848210,1692,11,white
4912985093,1425,81,asian
1488287246,128,50,white
265673211,910,116,black
50137792,952,124,white
898825844,727,46,white
3011611751,165,73,white
2418249512,698,8,asian
827592607714807808,1840,50,white
954345724053000193,31,14,white
35009743,1465,817,black
2829275130,175,2,white
825392772177866752,1249,430,black
832971174971797504,66,30,asian
797412505056317440,730,221,white
532017837,1058,57,black
938048622763094016,777,10,white
2552736471,1005,179,white
906250620,88,18,white
762852764741357568,1578,232,white
1005293004,283,90,white
918800874645856256,1830,567,asian
178164849,726,38,white
126123856,965,139,hispanic
1676165677,227,89,white
214123881,366,259,white
948317569542508544,2589,60,white
3253221030,105,74,white
419619470,827,570,black
738080989486977024,28,7,white
2583209908,939,395,white
729409912963502081,972,471,black
968953336471826433,245,15,white
2500978082,759,192,asian
2898379779,533,107,white
2473438856,1188,52,asian
474068520,1684,171,white
921086649483882496,977,133,white
332274150,172,4,black
928847305,1111,563,white
2491820936,114,20,white
95146712,473,66,asian
2329108714,2211,873,white
752465734836555776,2414,1089,white
395103305,2550,447,hispanic
516818953,268,168,white
877007659362390016,29,17,white
960733096659140608,63,51,asian
2961162861,452,121,white
247217180,258,100,white
1674315427,141,72,white
2265575935,629,107,white
712859464043524096,231,71,hispanic
450192360,389,142,white
868923089165406208,210,55,white
878435508417953792,463,92,asian
461793455,885,263,white
431705485,59,25,black
719348110,2463,1511,black
4869675245,850,428,white
868104477793845249,245,63,asian
840248121649221633,1286,489,white
925764598204002305,326,153,asian
1381930843,26,5,asian
2876945328,425,237,white
880430884922441729,1673,720,asian
221085399,399,80,white
895783602839015424,201,89,white
802619411559514113,349,6,asian
739424178772815876,2228,210,white
839927272295497730,848,116,white
169499588,1378,169,white
756760164,132,4,hispanic
1179538909,92,34,white
69708775,919,135,white
431464412,320,6,asian
960354403805839360,6,1,asian
196812101,539,74,hispanic
894017417218637825,3216,10,asian
813329095899709441,24,2,white
876949500862115841,161,61,white
1347664970,1163,248,hispanic
462130489,648,35,black
3698997617,57,1,white
958105864585515008,132,66,white
3002744908,837,716,white
737433819251367936,1340,528,black
916851635522957313,77,11,asian
117664959,1674,19,asian
759808639288827908,1,1,white
101698121,2328,436,asian
3000228110,1051,469,white
352357472,284,89,hispanic
811576049259675648,14,7,white
735432613406474240,3200,2615,asian
610213280,517,212,white
950880986400722945,392,162,white
971082142229942273,332,153,white
960803050242887680,87,3,white
723032979186941952,1090,557,asian
723179515405426690,620,16,hispanic
453173374,311,32,white
756124186012225536,1167,149,white
2522388707,31,21,white
105810909,5,1,white
714954631,17,6,black
2384009352,143,40,white
400159583,73,15,black
813794033055203328,736,31,white
2239650379,1053,21,white
951694825488728065,160,66,asian
267831949,425,62,white
1466876166,295,19,white
2177500365,37,16,white
835139964560007168,3,2,white
968741724716785664,3215,3,asian
844957886962905088,11,3,white
112523525,151,95,white
3345841677,985,77,asian
801082379041271808,47,41,white
2565942311,208,3,white
882519602479194112,45,5,asian
2318097395,585,180,hispanic
928430453715099650,22,3,black
823870937518903296,33,1,asian
973936414965551105,1,1,black
866078300137025536,347,17,white
2997735491,457,48,hispanic
207893356,732,165,asian
1423449038,98,18,white
18843490,767,131,white
67642530,480,378,black
816613676887265280,159,25,white
747593734003560448,437,70,white
4905584345,20,1,white
242480017,775,42,white
1662699642,266,57,asian
926851731912245248,2,1,asian
956044474546835457,130,10,asian
4506157512,6,2,asian
26755515,712,163,white
1921451420,435,399,white
1123617980,378,258,black
813760675939897345,1627,191,asian
1588347546,1331,131,asian
709157447689179136,2631,75,white
903542191485804545,68,17,white
2959232501,244,13,hispanic
137584009,1696,882,asian
348714919,1330,909,black
85945910,316,5,white
366197755,276,74,white
770413897283145728,3030,39,white
932729989841203200,16,2,white
3309030822,470,211,white
837720170474913792,934,279,white
180876823,708,15,white
773708925631946753,1019,25,white
3078448471,189,53,black
1408504351,627,81,black
396715972,2157,2,black
903499099160297473,587,154,asian
1297446247,760,58,white
2377819770,1137,364,asian
2855285293,1365,84,asian
348360099,1036,58,asian
378294305,841,537,white
48098368,2926,638,black
220547748,311,136,asian
345349367,844,633,asian
360956303,908,1,white
833049546670346241,1900,312,white
490733537,13,3,white
