User,Tweets,Tweets_with_Emoji,Race
222695169,767,115,asian
209040086,941,77,white
347996218,178,112,white
382386705,17,2,white
548131919,280,44,asian
718230003750682624,470,14,white
2276593526,134,47,hispanic
3547612816,0,0,white
753637656303632384,172,5,white
278200937,297,67,white
4113346037,189,41,asian
972187953257635840,2,0,asian
4145794623,700,225,white
928599248840675328,52,39,white
2235382934,2905,98,asian
2421413639,245,22,white
873409094513602560,18,5,asian
761775449307422720,13,11,asian
4157756998,314,154,black
951955674438782978,1521,640,asian
459983426,0,0,asian
707725170111172609,245,150,black
2959024287,167,2,white
750348611632918528,0,0,white
352483898,830,303,black
751148628,147,7,white
418219426,12,3,white
2322772694,2884,2604,white
296984703,1346,397,hispanic
838231207565529088,56,30,black
2914490515,0,0,asian
756691595685163013,22,0,white
1903125144,0,0,asian
2375393097,179,103,black
3359961653,125,83,hispanic
953808006629568512,18,12,asian
3510104353,36,24,white
801406749077110785,0,0,white
849646857680601089,62,26,asian
2754565376,333,27,asian
902439838959280128,54,13,white
634530335,0,0,asian
702644396,0,0,white
251502794,185,62,asian
3632706796,0,0,black
158492084,133,34,asian
2587803500,39,37,white
4323238762,0,0,black
293427660,0,0,asian
97192330,1774,37,white
2581070515,221,27,white
967575650214273025,0,0,white
913357726087917568,0,0,asian
2346455730,202,0,asian
326228310,0,0,asian
290013004,68,7,hispanic
811274740581232640,483,56,white
955135434849271808,73,2,asian
3141263852,0,0,white
20404297,341,1,white
1605703850,0,0,asian
2843787999,0,0,white
785181284742131712,0,0,white
973484350950973440,0,0,asian
72896351,48,2,white
851245289654566912,0,0,asian
1244359500,647,199,white
623771525,1,0,asian
383096361,0,0,white
958455407080607746,401,90,white
334468381,217,71,black
3087953826,2270,1794,black
3097107714,0,0,asian
2550022969,0,0,asian
21345004,1418,121,white
799883612023713792,45,24,asian
951570820375220225,2122,8,asian
3303758153,501,21,hispanic
1425258138,0,0,asian
238590809,85,20,other
715875484945395712,2127,489,hispanic
873225737867849728,49,9,asian
3138840630,56,0,white
136798090,2403,423,white
171128816,998,3,white
3229328705,0,0,white
521507600,2,2,white
821950750687313920,0,0,asian
1583697222,0,0,white
1959341472,0,0,white
918107470777671680,0,0,asian
388955273,393,131,asian
1315732508,359,143,hispanic
757022039303680000,2235,72,white
848886561727021056,62,46,white
339706852,383,28,white
221462702,3,0,white
964216888556388354,0,0,black
904972859260276736,4,0,asian
916703610259607552,1457,722,black
1415611506,0,0,white
722025585757786112,1443,215,asian
844014079,19,4,white
346202106,355,75,white
831177788,847,0,black
2953796630,64,26,asian
502297556,48,1,white
2489977820,58,12,white
813003633579020288,0,0,asian
798894868328226816,2850,382,white
2398239427,0,0,white
467038656,307,15,white
962740874462588928,141,17,hispanic
837570114069241856,37,23,asian
2345046951,0,0,white
208258302,307,97,white
929662019103367169,0,0,asian
140556152,74,7,white
95112566,3238,33,white
895502154416476161,541,0,white
272093927,973,81,black
127237591,1396,84,white
761931313360150529,648,8,asian
927103352252530688,365,84,white
403122747,0,0,white
743211695515049986,476,172,black
2890131380,467,105,white
964476297333231616,0,0,asian
789760126404202497,1030,740,hispanic
703998837812129792,219,29,asian
1360529966,2656,210,white
2391853952,1322,329,white
930064489034190848,5,0,asian
2826193829,0,0,white
939583375823826946,2675,0,white
283017399,2889,515,asian
936734192129503234,45,14,white
949015312648859653,114,17,white
254322966,1555,0,other
3016427952,413,165,black
4144132636,695,202,white
4632428482,657,0,black
809088535,462,1,white
911919813567684608,1605,145,white
849581117413834752,25,4,asian
608646193,137,82,white
4784988554,0,0,black
856485683711496192,220,36,asian
112862578,0,0,asian
727508855358287873,638,166,asian
929814442837147659,86,2,white
851095116613795841,205,2,asian
89809238,806,44,asian
2326178355,1770,333,white
9027312,604,213,white
706197658528911360,92,14,white
4245810826,1183,140,hispanic
899761874073530369,0,0,black
952334858952454144,2,0,white
572125957,174,0,white
724833642028109824,24,0,asian
2747075825,99,3,black
851115368,0,0,hispanic
962173958387777536,1197,218,asian
74130131,340,29,white
810632589518184448,0,0,white
893589063109705728,0,0,asian
921851965310676992,1049,258,asian
946557829934206976,0,0,hispanic
889661275059482624,95,5,hispanic
604968639,753,91,white
1244500537,522,21,white
3911748860,269,90,asian
232739928,319,239,black
140675345,54,0,asian
753631820424642563,3253,3250,white
743997602211848194,16,1,asian
2798787860,409,215,black
769127230819663872,0,0,white
814084851087249408,0,0,asian
994182446,0,0,white
826844866336407552,0,0,asian
896481136439906304,9,3,hispanic
950783394153033730,2246,96,asian
3135310927,0,0,asian
4801106538,0,0,asian
578677705,701,53,white
950872538296578049,1506,141,white
248754436,0,0,white
281682435,328,84,white
575618555,7,0,white
1321494469,130,8,white
841535502343790592,112,6,asian
255194500,1391,129,white
218797404,0,0,white
921099719203463168,74,12,white
941179490029338624,68,26,asian
770927395922644992,2027,124,white
471638871,0,0,asian
2743036505,93,23,black
839867802508918784,0,0,asian
28965328,820,155,white
473406967,1,0,white
1550913943,32,2,hispanic
2529239858,0,0,asian
452713352,139,99,black
914184586061475841,0,0,asian
947846151411081222,0,0,white
3310148129,0,0,black
3882751454,3252,0,asian
817012084529512448,0,0,asian
805221483077308416,0,0,hispanic
960502043440922624,0,0,asian
815111956520574977,1175,868,asian
2984975709,79,0,asian
969210866984865793,807,48,asian
221981925,913,282,black
3186489388,192,138,black
821437910616600577,3209,1,hispanic
3353965353,815,87,white
801824348285861888,680,1,white
2322222146,52,12,asian
822691577617186816,0,0,asian
1636771795,0,0,asian
969860049895014400,455,85,asian
4697334084,0,0,white
2807883894,49,4,white
3279278990,67,25,hispanic
524467582,402,63,white
876246604260311041,5,0,white
111645984,0,0,white
322426082,1584,63,white
886018097936646144,0,0,asian
172544762,1084,33,hispanic
4091987844,3100,2511,asian
442376133,7,0,white
825224939930284033,0,0,black
1646067438,0,0,hispanic
818361744280141824,12,9,white
146713837,196,123,white
815974818478690304,0,0,black
1565422656,2715,359,white
2804769650,211,116,black
890449487273099265,1795,75,white
737281040247463937,9,2,asian
3163923408,0,0,asian
3985306641,1035,274,black
817831871602106368,108,1,white
4917170635,0,0,white
396764263,3,0,hispanic
749996554233184256,36,12,black
2609060168,359,78,white
973171479733874689,368,177,asian
2860456853,1135,226,white
152265818,21,0,asian
864862979484917760,2613,0,asian
1021701020,237,1,asian
20778999,1258,51,white
152194744,381,0,white
3288327574,632,81,white
971440638230016000,4,0,asian
3240134942,316,76,white
31164007,88,28,black
31303160,0,0,black
830178219978584065,410,384,black
3291986214,91,11,asian
1633279176,0,0,white
3171924013,159,58,asian
889510201501429761,0,0,asian
3437111433,470,136,white
884117196657635328,334,44,hispanic
4704290946,829,587,white
1692674148,55,40,hispanic
386850174,23,2,white
729808821288198146,1,1,asian
2593261352,368,1,white
608006895,412,136,asian
829314720289153025,303,0,white
4862955499,0,0,asian
571500171,255,1,white
3536956993,94,15,white
158415294,62,7,hispanic
851203889445711873,0,0,asian
935340609878892544,3265,0,asian
956227805213331456,658,65,white
290843573,97,3,white
522650466,247,10,hispanic
939741810913558528,0,0,asian
953797207949479937,1963,146,white
572177064,14,8,white
1952541090,621,27,white
854427301240610816,1145,445,white
806858425439293440,0,0,white
496537568,0,0,white
888431978416152578,149,8,white
879001915258003456,112,14,white
238476503,96,80,white
755594533954465793,0,0,asian
3261535359,4,3,white
880831404971610112,1927,844,white
406216921,117,67,white
242704195,0,0,white
3033748105,344,130,white
574950487,1178,434,black
837986323310915584,302,48,hispanic
2703241995,77,0,white
3134034306,33,4,white
906913110371520512,23,1,white
3547318393,1757,680,black
59187230,0,0,black
971861620895899648,488,47,asian
2880676052,3186,275,white
120879803,2773,356,asian
1916454788,647,100,asian
868340140300685312,143,5,white
4864473809,1545,46,white
3699544632,2727,287,white
1199529102,271,30,white
2852544186,738,19,asian
957134201219772416,1170,968,asian
916716740956041216,0,0,white
882586115198398465,0,0,black
66646172,0,0,hispanic
842538103747227649,3235,0,asian
853156132067475456,450,12,white
1916188208,0,0,asian
363195936,154,34,black
973473376999108608,248,0,asian
965572223322017792,0,0,black
3008309733,0,0,white
17387399,2772,5,white
342360538,102,0,white
967312135,202,41,white
289812639,0,0,asian
773552592441991168,2174,1166,white
595262158,287,110,white
967012368931696640,1047,176,asian
1893012709,3204,25,asian
881136762898202627,0,0,asian
371634828,104,41,white
3323273855,139,38,hispanic
905674529074167808,0,0,asian
42790388,687,29,white
742062883018805248,0,0,white
1604586566,0,0,white
3002758080,1033,111,white
70187093,119,17,white
814175634561835008,2096,5,white
1648661190,2536,115,white
870639749999894529,416,344,asian
2314774050,0,0,white
162634096,1709,474,white
801637318880727040,82,1,white
115711124,524,76,white
892418954,32,19,white
1909658130,1222,56,white
4854132027,1501,1094,black
916854076289282049,1800,457,black
2477232667,3260,0,white
125088110,207,0,white
953254574424379392,0,0,asian
896147041750990848,3242,0,white
940419925050499073,3264,0,asian
19212258,344,2,white
957916253808607232,28,14,black
4238504713,228,128,hispanic
2178291775,1222,582,black
262779886,303,140,white
2843658881,51,35,white
4888763153,0,0,white
625848210,1692,11,white
4912985093,1425,81,asian
17388396,47,0,black
1488287246,128,50,white
265673211,910,116,black
50137792,952,124,white
898825844,727,46,white
867874253336526848,0,0,asian
3011611751,165,73,white
2418249512,698,8,asian
827592607714807808,1840,50,white
959031452292689920,0,0,asian
954345724053000193,31,14,white
2687479818,0,0,asian
35009743,1465,817,black
2829275130,175,2,white
369834695,383,0,white
825392772177866752,1249,430,black
832971174971797504,66,30,asian
797412505056317440,730,221,white
532017837,1058,57,black
4057599493,59,0,asian
972632973127270400,0,0,black
938048622763094016,777,10,white
2552736471,1005,179,white
768456288841838592,1,0,hispanic
953013513961787392,0,0,white
50871101,0,0,hispanic
439470267,0,0,white
36864891,0,0,white
292968439,0,0,asian
1542346255,0,0,white
906250620,88,18,white
762852764741357568,1578,232,white
1005293004,283,90,white
918800874645856256,1830,567,asian
178164849,726,38,white
2211898712,485,0,white
