Emoji,P-value,ethnicity
🙌🏾,0.0,not white
😂,0.0,not white
🤣,2.5170045221831747e-273,not white
📲,8.579450913972849e-262,white
👍🏼,2.151709409675873e-261,white
🙏🏾,2.282691588790274e-231,not white
😭,1.858988628314248e-198,not white
💯,2.710613456929984e-197,not white
👏🏾,4.5621249228343625e-174,not white
😩,4.763230631529318e-172,not white
🤷🏾‍♂️,9.572702101074175e-122,not white
👊🏾,8.673082654435107e-101,not white
👌🏾,3.8619370883077297e-100,not white
🤦🏾‍♂️,3.2802765238734883e-99,not white
📷,3.248963755566341e-87,not white
👀,5.011046704721368e-87,not white
🙌🏻,7.419697382613734e-87,white
🙏🏻,2.175135003850317e-86,white
🎧,5.2713254562603725e-80,not white
💪🏾,7.745846578107085e-78,not white
⚒,1.1650079833242445e-71,not white
💗,3.0140326064952656e-71,white
🤷🏾‍♀️,1.0163909795236814e-69,not white
🍌,1.4270822592412344e-69,white
🔥,2.7167407667482544e-59,not white
🙏🏽,4.3715746913337004e-58,not white
🌈,1.3296979075068933e-57,white
✊🏾,1.5839645758763116e-53,not white
👏🏼,3.4008448380922985e-52,white
💐,1.5894605880911162e-51,white
👠,2.2106603816641698e-51,white
🌼,6.942569896176953e-50,white
🤦🏽‍♂️,9.558790234695417e-49,not white
🌊,5.619066872098918e-48,not white
🔅,4.0261891585462404e-47,not white
🗝,3.987386106719832e-46,white
🤦🏾‍♀️,1.331341134736843e-44,not white
🤷🏻‍♀️,2.246170516113049e-44,white
🙌🏽,1.7908139681860515e-42,not white
🆔,1.7681822131667526e-40,white
👍🏾,1.9663261252333845e-40,not white
🔊,7.824527264287062e-40,not white
🦄,3.8167951179432045e-38,white
📹,6.462523900562186e-38,not white
🙌🏿,7.724197759407986e-38,not white
🤷🏼‍♀️,3.903440924213286e-37,white
😸,1.0196951447567526e-36,not white
🆕,2.450650926061714e-35,white
🔉,1.046079067929974e-34,not white
🏳️‍🌈,1.060851701538085e-34,white
🐶,1.1102570701323885e-34,white
✨,2.0355684228673174e-34,white
💋,1.9578494947414068e-33,white
🤪,4.689204212734184e-33,not white
🧡,6.984060136821863e-33,white
💪,8.72089887593255e-33,white
😺,4.172757597865168e-32,not white
😃,4.29163852669199e-32,white
💀,5.842504223533254e-32,not white
💙,6.739681286514339e-32,white
✍🏼,9.384143770818018e-32,white
🤜,3.373985678238407e-31,white
😅,4.367461643709124e-31,not white
😒,1.4245465813341403e-29,not white
🎢,1.9691035275082124e-29,white
👑,6.473329486078628e-29,not white
🤦‍♀️,9.355112158712521e-29,white
🤧,3.452617264005979e-28,not white
👍🏻,3.5338840408434673e-28,white
🤳,1.3761191379520735e-27,not white
🙏🏿,1.851358269068276e-27,not white
🙌🏼,2.3886391418462326e-27,white
🤛,3.89850033983692e-27,white
🏇,4.2317163562262586e-27,white
🎉,6.362919300847246e-27,white
👇🏾,7.085914727301912e-27,not white
😚,7.98696422411727e-27,white
🤦🏻‍♀️,3.698475746416583e-26,white
💃🏾,7.046236854147628e-26,not white
🗣,7.533804823310743e-26,not white
🔱,7.798019593409012e-26,white
🇬🇧,2.714372392768754e-25,white
🔴,3.5278601365242417e-25,not white
🐎,3.0302502938439185e-24,white
👊🏿,3.383975627328952e-24,not white
😪,5.101503066619026e-24,not white
🎃,5.922289001613152e-24,white
♥,1.1612154294173154e-23,white
😡,4.644180947463836e-23,not white
💁‍♀️,5.639374490334552e-23,white
🤷‍♀️,6.157126660918542e-23,white
💕,1.1865880880776392e-22,white
🤔,1.5552788073701966e-22,not white
😙,3.5947378229316997e-22,white
🤘🏾,1.229351298534127e-21,not white
😜,1.5859038369295428e-21,white
😊,3.6572077460712265e-21,white
😉,8.655976935847303e-21,white
🤞🏾,2.877499298329464e-20,not white
🤦🏼‍♀️,3.92693797292137e-20,white
👅,4.373651920122182e-20,not white
👇🏼,6.245802922695958e-20,white
🤕,8.564744281357967e-20,not white
🏆,1.1041981152761156e-19,not white
👏🏽,5.753074433381824e-19,not white
🔞,9.473891609608605e-19,not white
👇🏻,1.487621049528539e-18,white
🚨,1.7649215550289966e-18,not white
🚓,2.4271963118111353e-18,not white
💓,2.5809445058957797e-18,white
🤷🏽‍♀️,2.9936769398950785e-18,not white
😁,7.114887980161218e-18,not white
🤓,8.17669698734787e-18,white
💅🏻,1.4153377889920675e-17,white
👮‍♂️,2.103511938582147e-17,not white
🎭,2.3312561137863038e-17,white
👋🏾,2.99704646424448e-17,not white
📮,3.243908803262161e-17,white
✔,6.322385049644101e-17,not white
😕,7.604266077279461e-17,not white
🤙🏾,7.8450767501172e-17,not white
🤘🏼,1.0434875707868158e-16,not white
✈,1.170592684600929e-16,white
💜,1.2719902270560864e-16,not white
😤,1.5010536806224423e-16,not white
👈,1.9996788664163003e-16,not white
➡,3.009839224292749e-16,not white
📰,3.3102816096437054e-16,not white
💪🏽,7.473313541931825e-16,not white
🐷,9.636062704951686e-16,white
💛,9.800645649690036e-16,white
👁,2.3818732156673692e-15,not white
😹,3.3436174718656365e-15,not white
😶,3.754692193878777e-15,not white
🛢,4.755977296750877e-15,not white
❗,8.115817763020643e-15,not white
🇧🇷,8.98262478512559e-15,not white
👌🏽,9.04517613207447e-15,not white
👎🏼,1.0600625476367218e-14,white
🤷🏿‍♂️,1.1820787806523413e-14,not white
🙅🏽‍♂️,1.2411050266033504e-14,not white
®,1.501000117007283e-14,white
🤘,1.8440803407433744e-14,not white
👏🏻,2.524477407616354e-14,white
💫,2.6107452739186817e-14,not white
