Emoji,P-value,ethnicity
💷,0.0,white
🔵,0.0,white
🔴,0.0,white
🔶,8.11228384086865e-310,white
🔷,8.168038370887341e-210,white
📢,6.143356413492756e-200,white
✨,6.7231734608695434e-155,not white
♻,9.556867449247607e-135,not white
❤,3.8399768455187226e-111,white
🔔,1.579817846719688e-109,white
😂,2.283063100046001e-109,white
🤷🏼‍♀️,1.7033556246898395e-104,white
🆕,2.150533201744636e-97,white
🇫🇴,8.720175063718085e-92,white
📌,6.966637261793402e-84,white
💙,5.538955574890919e-75,white
💦,1.891455601974058e-74,not white
🐷,4.3940019436277173e-72,white
⚡,2.464505508370605e-67,white
🙌🏼,8.704426747958266e-67,white
⭐,8.168336988649863e-66,white
🇵🇪,1.7419481601512699e-59,white
⚓,1.4076399924429209e-58,white
😙,7.695134474472868e-57,white
💔,2.872659746283905e-56,white
💛,1.1794045164835937e-55,white
😍,9.677713978807746e-50,white
🤗,1.0935419941576552e-48,white
📑,1.1516474318361527e-44,white
📍,2.0408235890095388e-43,white
👃,1.8967334096122573e-42,white
😺,3.2516404861193787e-41,white
🆙,4.990803642841505e-41,white
😈,5.074132699668964e-40,white
☺,1.037772637523093e-38,not white
🔸,1.722447522710332e-38,white
🙌🏻,3.2514105362345153e-38,white
🙋🏼,4.235890678502325e-37,white
🇹🇷,1.8272723422631183e-36,white
🎵,2.035822483624529e-36,not white
🤷🏻‍♀️,2.604421297014624e-35,white
👅,6.769199266810007e-35,white
📚,7.927296506288807e-34,white
💞,1.342238998501337e-33,white
👌🏼,2.6281136199299858e-33,white
🕰,1.987049983959256e-32,not white
🤷🏻‍♂️,6.518413146460094e-32,white
🦁,2.020455110081246e-31,white
🖥,2.5789271014104172e-30,not white
🍀,3.587122266411963e-30,white
😆,1.2694845986262937e-29,not white
💕,1.4552171992397885e-28,not white
💚,5.450088007360709e-28,white
📞,7.561757702984646e-28,not white
🙏🏼,1.3865365162204862e-27,white
🎮,1.8541198760293525e-27,not white
🦇,1.972334554242131e-27,white
⚔,3.7567791154150094e-27,white
🚖,1.0150301699254695e-26,not white
👏🏼,1.562165621765313e-26,white
