Emoji,P-value,ethnicity
🤦🏾‍♀️,0.0,black
🤷🏾‍♀️,0.0,black
🔉,0.0,black
💪🏾,0.0,black
👊🏾,0.0,black
🤦🏾‍♂️,0.0,black
🔊,0.0,black
🤷🏽‍♀️,0.0,black
👌🏾,0.0,black
🤷🏾‍♂️,0.0,black
🎧,0.0,black
🌊,0.0,black
🙏🏾,0.0,black
🎶,0.0,black
👏🏾,0.0,black
💯,0.0,black
🙌🏾,0.0,black
😩,0.0,black
🔥,0.0,black
🤣,0.0,black
😭,0.0,black
❤,0.0,black
😂,0.0,black
😌,1.532573412986461e-298,black
🤘🏾,4.7546447450149425e-283,black
🙌🏿,7.507613267327668e-272,black
👀,3.382755359938919e-262,black
💃🏾,8.655509372380942e-244,black
🤦🏽‍♂️,5.721438117400751e-239,black
✊🏾,2.4687455621745824e-224,black
🙃,1.0583790653340867e-209,black
🙏🏿,5.2434518199109194e-195,black
🗣,8.170892600300613e-194,black
😍,3.03858463939696e-185,black
😅,2.0698074732436565e-182,black
💀,1.5714099054232622e-179,black
🤦🏽‍♀️,1.8987059450360718e-175,black
👊🏿,7.959974202466181e-175,black
🌅,2.9251343062354136e-160,black
👍,2.958527529887677e-151,not black
🤧,1.2910897394171826e-138,black
📰,3.2844321037554205e-134,black
💜,1.7865505140158432e-131,black
👌🏿,3.211367958986567e-131,black
👍🏾,8.264104807311608e-124,black
👏🏿,5.770002841227346e-123,black
🤙🏾,2.2033098413643195e-119,black
🙄,3.9419742510376774e-118,black
🙇🏾‍♀️,9.050029857596215e-115,black
🤕,2.1559697879142243e-113,black
😒,1.2169971001836493e-110,black
😮,1.4075555589283607e-110,black
🙆🏾‍♀️,2.312125012569773e-109,black
👇🏾,9.969967761893904e-109,black
🇬🇭,2.8170203694364507e-105,black
😤,9.097063025071091e-104,black
✌🏾,4.2539714445173564e-101,black
❗,6.009488467381707e-100,black
😪,1.0904779147684848e-98,black
🇵🇦,2.4827916179224374e-96,black
👐🏾,3.110012560506023e-91,black
☝🏾,4.048244705433215e-91,black
😫,2.3449779961846858e-90,black
☎,8.80746217336287e-86,black
👍🏿,1.0923730138262032e-84,black
😕,4.965335334569975e-81,black
💖,1.8058887543804465e-78,black
☺,4.6013538952422396e-76,black
💫,5.845775286186653e-76,black
✨,9.73178734337779e-76,black
😏,5.194804197415794e-74,black
™,5.409999568657848e-74,black
🙌🏽,2.4181805064958003e-72,black
🤗,8.460963870765341e-69,black
👋🏾,9.03968006825885e-69,black
🙆🏾‍♂️,1.9951453750742968e-66,black
👑,7.282355541544674e-66,black
🇯🇲,1.8092986510282646e-64,black
💥,9.730598191890189e-64,black
💔,5.3775753421914165e-61,black
👍🏻,8.584941545260543e-61,not black
🙏🏽,2.8502187440289347e-60,black
💃🏽,4.212847171240049e-59,black
👌,8.457966203438352e-59,black
🤙🏿,2.9316975743806307e-56,black
🤷🏿‍♀️,7.205017053550316e-56,black
👏🏽,8.391233009147684e-54,black
🤟,2.6473536508399718e-53,black
✊🏿,2.885971020467115e-52,black
🇳🇬,3.6570638113945554e-52,black
💅🏾,3.9068616810106137e-51,black
💁🏾‍♀️,4.136208729360246e-43,black
😣,5.277221905684453e-43,black
🤷🏿‍♂️,3.286531214058462e-42,black
😊,6.889346109189877e-42,black
🖕🏾,1.3021529182114676e-41,black
👍🏼,9.309339006846347e-41,not black
😉,2.2439367102440712e-40,not black
‼,4.950246759291544e-40,black
🙌🏻,2.6747199556651514e-39,not black
📲,1.2896824131117998e-38,not black
👎🏾,2.2742039893789687e-38,black
😢,6.424429108334637e-38,black
🙋🏾‍♀️,7.010478908155498e-38,black
👏,1.040879631114052e-37,not black
🙅🏾‍♀️,1.0578656632401546e-36,black
🤞🏾,1.4079264088032484e-36,black
👆🏾,1.7258529824113927e-36,black
🎉,5.7657067302266815e-36,black
🙌,1.2913915275108023e-35,not black
👏🏻,2.435574859092257e-35,not black
👇🏽,3.4165745056780855e-35,black
🙋🏽‍♀️,5.744701929424997e-35,black
😑,1.9253244410246856e-34,black
😀,3.4967886510247807e-34,not black
💃,6.054316114717131e-34,black
