Emoji,P-value,ethnicity
👊🏽,1.1620496785800831e-296,hispanic
🇮🇳,6.0417118789374595e-280,hispanic
🏏,2.482784585421917e-268,hispanic
👍🏽,2.3136656625780003e-134,hispanic
👩🏻‍🏫,2.141352727007473e-127,hispanic
🙌🏽,2.544319054935774e-94,hispanic
🥊,4.945665291230953e-84,hispanic
🏃🏽,1.2151586610108018e-75,hispanic
⚪,1.5273474106029005e-69,hispanic
🤔,3.140093688137564e-67,hispanic
🔴,1.298392489519862e-66,hispanic
❤,1.005664172337289e-55,not hispanic
👌🏽,8.735055968400303e-51,hispanic
👂🏾,1.561874986746247e-37,hispanic
🐪,4.851723089449017e-36,hispanic
👽,2.1980420949709992e-35,hispanic
✋🏾,2.302693955728113e-33,hispanic
😩,3.84013321358236e-33,hispanic
🤦🏻‍♀️,2.062770256224827e-31,hispanic
🙆🏽‍♀️,1.208126398395306e-30,hispanic
🚮,8.417870823928338e-30,hispanic
🤬,2.3670546758995066e-29,hispanic
😠,1.5243641021281282e-25,hispanic
💏,5.602122245818301e-25,hispanic
🐸,9.057792564361642e-24,hispanic
☝🏽,1.1392035813817218e-23,hispanic
💍,5.093498292334985e-23,hispanic
🙌🏻,6.827353399892196e-23,hispanic
🙈,6.908909701307381e-23,hispanic
🤷🏻‍♀️,2.985984309084681e-22,hispanic
↗,2.1620826571118027e-21,hispanic
💆🏽‍♀️,2.0201264783053988e-20,hispanic
🧒🏽,2.0498515235307723e-20,not hispanic
👱🏾,2.0498515235307723e-20,not hispanic
👩🏽‍💼,2.0498515235307723e-20,not hispanic
👨🏼‍🔬,2.0498515235307723e-20,not hispanic
🍘,2.0498515235307723e-20,not hispanic
🏄🏿‍♂️,2.0498515235307723e-20,not hispanic
🧪,2.0498515235307723e-20,not hispanic
🇧🇼,2.0498515235307723e-20,not hispanic
👨🏻‍🚒,2.0498515235307723e-20,not hispanic
🤜🏿,2.0498515235307723e-20,not hispanic
🧜🏽‍♂️,2.0498515235307723e-20,not hispanic
👨🏾‍🎨,2.0498515235307723e-20,not hispanic
⛎,2.0498515235307723e-20,not hispanic
🕙,2.0498515235307723e-20,not hispanic
👨‍🦲,2.0498515235307723e-20,not hispanic
👩🏽‍🚒,2.0498515235307723e-20,not hispanic
👳🏻‍♂️,2.0498515235307723e-20,not hispanic
🤳🏿,2.0498515235307723e-20,not hispanic
👨🏾,2.0498515235307723e-20,not hispanic
👩🏻‍⚕️,2.0498515235307723e-20,not hispanic
🥎,2.0498515235307723e-20,not hispanic
🔤,2.0498515235307723e-20,not hispanic
🚠,2.0498515235307723e-20,not hispanic
🧑,2.0498515235307723e-20,not hispanic
👨🏽‍💻,2.0498515235307723e-20,not hispanic
🧔🏾,2.0498515235307723e-20,not hispanic
🚴🏿‍♂️,2.0498515235307723e-20,not hispanic
🇲🇵,2.0498515235307723e-20,not hispanic
🙍🏽‍♀️,2.0498515235307723e-20,not hispanic
🛄,2.0498515235307723e-20,not hispanic
👱🏻,2.0498515235307723e-20,not hispanic
👮🏽,2.0498515235307723e-20,not hispanic
🖖🏿,2.0498515235307723e-20,not hispanic
🚵🏿‍♀️,2.0498515235307723e-20,not hispanic
